alert_id,timestamp,source_ip,destination_ip,label,severity,mitre_tactic,mitre_technique,mitre_conf,shap_feat_1,shap_val_1,shap_feat_2,shap_val_2,shap_feat_3,shap_val_3,shap_feat_4,shap_val_4,shap_feat_5,shap_val_5
99,2026-07-27 10:00:00,172.16.0.32,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,6.1302,Fwd Packet Length Max,2.4476,Fwd Packet Length Std,-1.0892,Total Fwd Packets,-0.9395,Fwd IAT Total,-0.8387
100,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,2.9473,Fwd Packet Length Mean,-0.721,Flow IAT Mean,0.6145,Bwd Packet Length Mean,-0.5195,Bwd Packet Length Std,-0.4582
101,2026-07-27 10:00:00,172.16.0.47,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,1.3229,Flow Bytes/s,-0.5424,Destination Port,-0.484,Flow IAT Min,-0.2817,Total Length of Bwd Packets,-0.2586
102,2026-07-27 10:00:00,172.16.0.29,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,3.357,Fwd Packet Length Max,1.7863,Destination Port,0.8699,Flow IAT Mean,-0.6237,Total Backward Packets,-0.6157
103,2026-07-27 10:00:00,172.16.0.20,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,1.1467,Destination Port,-0.6121,Fwd IAT Total,0.4463,Total Length of Bwd Packets,-0.407,Bwd Packet Length Min,0.2952
104,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,3.4683,Total Fwd Packets,-0.7012,Destination Port,-0.6524,Fwd Packet Length Min,-0.5868,Flow IAT Min,-0.5432
105,2026-07-27 10:00:00,172.16.0.22,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,6.1047,Fwd Packet Length Max,2.533,Flow Bytes/s,-1.2766,Bwd Packet Length Std,-0.789,Total Fwd Packets,-0.6827
106,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.998,Total Fwd Packets,-0.7276,Total Backward Packets,0.4874,Flow Packets/s,-0.3871,Bwd Packet Length Max,-0.3844
107,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,70.0,Flow Bytes/s,-0.1038,Total Fwd Packets,0.101,Flow Packets/s,-0.0787,Total Length of Bwd Packets,0.0702,Fwd Packet Length Mean,0.0691
108,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,60.0,Destination Port,0.1213,Fwd IAT Total,0.1039,Flow IAT Std,-0.0906,Fwd Packet Length Std,-0.0725,Flow Packets/s,-0.0691
109,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,1.3874,Total Length of Fwd Packets,-0.512,Bwd Packet Length Std,0.4527,Flow IAT Max,0.3933,Fwd Packet Length Std,0.3664
110,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Bot,Critical,TA0011 Command & Control,T1071.001,91.5,Flow Duration,5.9789,Fwd IAT Total,2.7828,Flow Bytes/s,2.3243,Total Length of Fwd Packets,-1.5851,Flow IAT Min,-1.0195
111,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,2.0195,Flow Packets/s,-0.9625,Flow IAT Max,0.7461,Bwd Packet Length Mean,-0.5241,Flow IAT Mean,0.4177
112,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,56.00000000000001,Total Length of Bwd Packets,-0.1239,Bwd Packet Length Max,0.1061,Total Length of Fwd Packets,0.0943,Destination Port,0.0933,Bwd Packet Length Std,-0.0856
113,2026-07-27 10:00:00,172.16.0.35,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,1.0027,Flow Bytes/s,-0.6491,Fwd Packet Length Std,0.5157,Destination Port,-0.5136,Total Length of Fwd Packets,0.358
114,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,1.4816,Fwd IAT Total,-1.0354,Fwd IAT Mean,-0.7773,Bwd Packet Length Min,-0.5824,Flow Packets/s,-0.5628
115,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,1.4875,Flow IAT Max,-0.7289,Flow IAT Mean,0.6587,Destination Port,-0.5758,Fwd IAT Mean,0.5387
116,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,1.4359,Total Length of Bwd Packets,-0.7135,Fwd IAT Total,-0.4946,Fwd Packet Length Min,0.4747,Fwd IAT Mean,-0.4614
117,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,1.5614,Flow Bytes/s,-0.892,Total Length of Bwd Packets,0.6232,Fwd Packet Length Min,-0.6117,Fwd Packet Length Std,0.5273
118,2026-07-27 10:00:00,172.16.0.12,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,3.5085,Fwd Packet Length Max,2.122,Total Length of Bwd Packets,-0.9898,Flow Duration,-0.8531,Fwd Packet Length Min,-0.8102
119,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,2.1182,Flow IAT Mean,0.6429,Flow IAT Std,0.5908,Fwd IAT Total,-0.5566,Flow Bytes/s,-0.5177
120,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,60.0,Total Fwd Packets,-0.1034,Bwd Packet Length Max,0.0983,Total Length of Bwd Packets,0.0891,Fwd Packet Length Max,0.074,Fwd IAT Total,-0.072
121,2026-07-27 10:00:00,172.16.0.12,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,1.1129,Destination Port,-0.5145,Fwd IAT Total,-0.4908,Fwd IAT Mean,0.3191,Flow Bytes/s,0.3054
122,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,1.3579,Flow IAT Mean,0.8577,Flow IAT Min,-0.5315,Flow Bytes/s,-0.5271,Bwd Packet Length Std,-0.4139
123,2026-07-27 10:00:00,172.16.0.12,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,0.7407,Destination Port,-0.4939,Flow Bytes/s,-0.4674,Total Length of Bwd Packets,-0.4419,Bwd Packet Length Min,0.4098
124,2026-07-27 10:00:00,172.16.0.41,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,0.8087,Destination Port,-0.5354,Flow IAT Std,-0.4817,Bwd Packet Length Min,-0.4605,Total Length of Bwd Packets,0.3116
125,2026-07-27 10:00:00,172.16.0.29,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,6.2806,Fwd Packet Length Max,1.5629,Fwd IAT Mean,-0.9613,Fwd IAT Total,-0.8559,Flow IAT Min,-0.803
126,2026-07-27 10:00:00,172.16.0.31,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,0.74,Destination Port,-0.5339,Flow Duration,-0.3414,Bwd Packet Length Mean,-0.3312,Bwd Packet Length Max,0.2311
127,2026-07-27 10:00:00,172.16.0.85,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Fwd Packet Length Max,3.6151,Total Length of Fwd Packets,3.4377,Total Length of Bwd Packets,-1.0587,Flow Duration,-0.7912,Destination Port,0.7818
128,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,56.00000000000001,Flow IAT Min,0.1129,Flow IAT Mean,0.0956,Flow Bytes/s,-0.0862,Fwd Packet Length Std,0.0838,Fwd IAT Mean,0.0771
129,2026-07-27 10:00:00,172.16.0.35,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,1.4297,Flow Bytes/s,-0.6661,Destination Port,-0.5576,Fwd IAT Mean,-0.445,Bwd Packet Length Min,-0.4446
130,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Total Fwd Packets,-0.6412,Flow IAT Mean,0.6297,Flow Duration,0.5843,Total Length of Bwd Packets,-0.5761,Flow Packets/s,-0.5663
131,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,46.0,Fwd IAT Total,-0.1915,Total Length of Bwd Packets,-0.0834,Fwd Packet Length Std,0.0822,Flow Packets/s,0.078,Destination Port,0.0708
132,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,56.00000000000001,Flow IAT Min,-0.1383,Fwd Packet Length Std,-0.1036,Fwd IAT Mean,-0.0973,Fwd Packet Length Min,0.0761,Total Backward Packets,0.0738
133,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,7.5588,Bwd Packet Length Max,1.3437,Flow Bytes/s,-1.1152,Flow IAT Max,-0.7529,Flow Duration,-0.653
134,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,2.9388,Bwd Packet Length Max,-0.7192,Fwd IAT Total,-0.7052,Flow IAT Std,-0.7004,Fwd Packet Length Mean,-0.4654
135,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,2.3255,Flow Packets/s,-0.7268,Flow IAT Mean,0.5337,Fwd Packet Length Min,0.5269,Fwd Packet Length Mean,0.4956
136,2026-07-27 10:00:00,172.16.0.88,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,0.8519,Destination Port,-0.5774,Flow Packets/s,-0.3455,Flow IAT Std,-0.3371,Total Length of Fwd Packets,0.3366
137,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,3.1581,Fwd IAT Total,-1.2496,Flow IAT Mean,0.6846,Fwd Packet Length Std,-0.5619,Bwd Packet Length Mean,-0.4981
138,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Bot,Critical,TA0011 Command & Control,T1071.001,91.5,Flow Duration,6.5945,Fwd IAT Total,4.3198,Flow Bytes/s,1.72,Bwd Packet Length Std,-1.1784,Destination Port,-1.0707
139,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,2.8072,Bwd Packet Length Max,-0.4413,Flow IAT Min,-0.4344,Fwd Packet Length Min,0.3985,Fwd Packet Length Mean,-0.3981
140,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,2.8589,Flow Bytes/s,0.6499,Destination Port,0.6452,Total Fwd Packets,-0.624,Total Backward Packets,-0.6158
141,2026-07-27 10:00:00,172.16.0.25,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Destination Port,198.5839,Flow Duration,-9.8858,Flow Bytes/s,-9.3231,Fwd IAT Total,-9.2487,Fwd Packet Length Std,-9.2329
142,2026-07-27 10:00:00,172.16.0.60,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,4.5949,Fwd Packet Length Max,2.6541,Total Length of Bwd Packets,-0.6582,Destination Port,0.6213,Fwd IAT Mean,-0.6188
143,2026-07-27 10:00:00,172.16.0.22,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,5.9873,Fwd Packet Length Max,2.5751,Fwd IAT Total,-1.2752,Bwd Packet Length Max,-0.8813,Flow IAT Min,-0.7629
144,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,2.8953,Fwd Packet Length Mean,-0.8738,Fwd IAT Total,-0.6551,Bwd Packet Length Std,-0.6107,Total Backward Packets,-0.5571
145,2026-07-27 10:00:00,172.16.0.6,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,0.8921,Destination Port,-0.5384,Flow Packets/s,-0.4101,Fwd IAT Mean,0.2763,Flow IAT Min,-0.2602
146,2026-07-27 10:00:00,172.16.0.47,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Total Backward Packets,0.8988,Destination Port,-0.506,Bwd Packet Length Max,-0.4365,Total Length of Fwd Packets,-0.3727,Fwd Packet Length Max,-0.3118
147,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,60.0,Flow Packets/s,-0.0963,Bwd Packet Length Min,-0.0858,Bwd Packet Length Mean,0.0813,Flow Bytes/s,-0.0778,Total Length of Fwd Packets,0.0626
148,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.4179,Flow Packets/s,-0.6348,Flow Bytes/s,-0.5943,Total Length of Fwd Packets,0.4658,Bwd Packet Length Min,-0.4566
149,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,1.9225,Flow IAT Mean,0.65,Flow IAT Std,0.5581,Bwd Packet Length Max,-0.5489,Fwd Packet Length Mean,-0.496
150,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,2.9042,Fwd Packet Length Mean,-0.8125,Flow Bytes/s,-0.7017,Total Backward Packets,-0.6152,Total Fwd Packets,-0.5778
151,2026-07-27 10:00:00,172.16.0.83,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Destination Port,10.2982,Flow Packets/s,1.2417,Flow Duration,-1.006,Fwd IAT Mean,-0.7597,Bwd Packet Length Std,-0.7561
152,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.925,Total Fwd Packets,-0.8452,Flow IAT Mean,0.6132,Flow IAT Std,-0.5775,Fwd IAT Total,0.4904
153,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,2.0682,Flow IAT Mean,0.8938,Flow IAT Min,-0.869,Fwd Packet Length Min,-0.7935,Bwd Packet Length Max,0.7305
154,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,4.364,Bwd Packet Length Max,3.3897,Flow IAT Min,-1.0226,Flow IAT Mean,-0.8157,Flow Packets/s,-0.6378
155,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,2.6948,Fwd Packet Length Min,-0.7794,Fwd Packet Length Max,-0.7148,Destination Port,-0.5131,Flow IAT Max,-0.4948
156,2026-07-27 10:00:00,172.16.0.49,192.168.1.50,SSH-Patator,High,TA0006 Credential Access,T1110.001,95.5,Destination Port,-0.604,Total Backward Packets,0.4887,Fwd IAT Total,-0.4624,Fwd Packet Length Mean,0.4061,Flow IAT Max,-0.2551
157,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,2.6689,Fwd Packet Length Max,-0.6479,Flow Bytes/s,-0.5017,Fwd Packet Length Std,-0.4707,Bwd Packet Length Max,-0.4172
158,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,42.0,Fwd IAT Total,0.1216,Flow Packets/s,-0.1167,Flow Duration,0.0948,Flow IAT Mean,-0.0816,Flow Bytes/s,-0.0758
159,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,1.353,Flow IAT Mean,0.9649,Fwd IAT Total,-0.5514,Flow Packets/s,-0.3677,Flow IAT Max,-0.3407
160,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,1.3609,Flow IAT Mean,0.7588,Bwd Packet Length Max,-0.6549,Bwd Packet Length Std,-0.65,Fwd IAT Mean,0.4496
161,2026-07-27 10:00:00,172.16.0.57,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Flow Packets/s,2.4469,Destination Port,1.2271,Flow Duration,-0.7298,Total Length of Fwd Packets,-0.5316,Flow Bytes/s,-0.3485
162,2026-07-27 10:00:00,172.16.0.49,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,5.9197,Fwd Packet Length Max,1.8895,Flow Packets/s,-0.752,Fwd Packet Length Min,-0.7094,Destination Port,0.7003
163,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Bot,Critical,TA0011 Command & Control,T1071.001,91.5,Flow Duration,5.321,Fwd IAT Total,4.1361,Flow Bytes/s,2.2443,Flow IAT Std,-1.0456,Total Length of Fwd Packets,-0.9372
164,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Bot,Critical,TA0011 Command & Control,T1071.001,91.5,Flow Duration,6.7662,Fwd IAT Total,5.5068,Flow Bytes/s,2.0271,Total Length of Fwd Packets,-1.6887,Flow Packets/s,-1.4618
165,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.6089,Flow IAT Mean,0.8554,Total Fwd Packets,0.6528,Fwd Packet Length Std,-0.5905,Bwd Packet Length Mean,-0.5329
166,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.3344,Flow IAT Min,-0.691,Fwd Packet Length Max,-0.6297,Flow IAT Mean,0.5274,Bwd Packet Length Min,-0.4296
167,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,1.0771,Fwd IAT Mean,-0.8373,Flow IAT Mean,0.6477,Fwd IAT Total,-0.6351,Flow IAT Max,-0.6108
168,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,1.837,Destination Port,-0.7353,Flow IAT Max,-0.7034,Total Fwd Packets,-0.4973,Fwd IAT Mean,0.4684
169,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowloris,Critical,TA0040 Impact,T1499,91.2,Flow Duration,2.3518,Bwd Packet Length Mean,-0.8357,Flow IAT Min,0.72,Bwd Packet Length Max,-0.6027,Fwd IAT Total,0.5025
170,2026-07-27 10:00:00,172.16.0.75,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Flow Packets/s,1.7013,Destination Port,1.2589,Flow Duration,-0.6631,Fwd Packet Length Std,-0.4745,Flow IAT Min,-0.3766
171,2026-07-27 10:00:00,172.16.0.45,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,0.6218,Destination Port,-0.5846,Bwd Packet Length Mean,0.5748,Total Length of Bwd Packets,-0.5181,Flow Duration,-0.4842
172,2026-07-27 10:00:00,172.16.0.98,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,0.9336,Destination Port,-0.5684,Bwd Packet Length Max,-0.3372,Flow Packets/s,0.3261,Flow IAT Min,-0.2519
173,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,1.8148,Flow IAT Mean,0.9058,Bwd Packet Length Min,-0.5922,Fwd Packet Length Min,0.4652,Fwd IAT Mean,-0.4429
174,2026-07-27 10:00:00,172.16.0.11,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Flow Bytes/s,0.5201,Fwd Packet Length Max,-0.5049,Fwd Packet Length Mean,0.4832,Fwd IAT Mean,0.4552,Flow Packets/s,-0.4536
175,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,60.0,Total Length of Bwd Packets,-0.1027,Fwd IAT Total,-0.0946,Fwd Packet Length Max,0.0852,Destination Port,-0.0825,Flow IAT Std,-0.0786
176,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,42.0,Total Backward Packets,-0.1065,Flow IAT Max,0.1005,Flow Duration,0.099,Fwd Packet Length Max,-0.0745,Flow IAT Mean,-0.0692
177,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,2.4452,Bwd Packet Length Mean,-0.5381,Bwd Packet Length Max,0.4984,Flow IAT Std,-0.3827,Flow Bytes/s,-0.3732
178,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,1.1649,Total Length of Bwd Packets,-0.7305,Flow IAT Max,0.7304,Total Fwd Packets,-0.7254,Fwd Packet Length Min,0.681
179,2026-07-27 10:00:00,172.16.0.9,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,3.2772,Fwd Packet Length Max,2.1382,Flow IAT Std,-0.7963,Destination Port,0.7748,Fwd IAT Mean,-0.7141
180,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,46.0,Bwd Packet Length Max,-0.126,Fwd Packet Length Mean,0.1069,Fwd Packet Length Std,-0.0826,Flow Duration,0.0728,Bwd Packet Length Min,-0.0715
181,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,60.0,Destination Port,-0.1123,Flow Bytes/s,-0.1118,Flow IAT Min,-0.0975,Total Length of Fwd Packets,0.0817,Flow IAT Std,-0.0713
182,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,1.8274,Flow IAT Std,-0.6399,Fwd Packet Length Max,-0.5621,Fwd Packet Length Mean,-0.5608,Fwd Packet Length Std,-0.478
183,2026-07-27 10:00:00,172.16.0.6,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Destination Port,198.5594,Flow Duration,-9.9297,Flow Bytes/s,-9.4178,Fwd IAT Total,-9.2696,Fwd Packet Length Std,-9.0168
184,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Slowhttptest,Critical,TA0040 Impact,T1499,90.8,Flow Duration,2.7902,Flow IAT Mean,0.9281,Fwd Packet Length Mean,-0.5853,Bwd Packet Length Min,0.5747,Flow Packets/s,-0.5702
185,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,6.0373,Bwd Packet Length Max,3.775,Destination Port,-0.997,Flow IAT Min,-0.9136,Fwd IAT Total,-0.7099
186,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Infiltration,High,TA0010 Exfiltration,T1041,90.0,Total Length of Bwd Packets,6.5905,Bwd Packet Length Max,3.5107,Destination Port,-1.0209,Flow Bytes/s,-0.8035,Bwd Packet Length Std,-0.7954
187,2026-07-27 10:00:00,172.16.0.81,192.168.1.50,PortScan,Medium,TA0043 Reconnaissance,T1046,92.5,Destination Port,82.8976,Flow Duration,-4.4269,Fwd IAT Total,-4.1194,Flow Bytes/s,-4.0238,Fwd IAT Mean,-3.9024
188,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,3.0292,Flow IAT Std,-0.8221,Fwd IAT Total,-0.738,Total Length of Bwd Packets,-0.6775,Total Fwd Packets,-0.457
189,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,Bot,Critical,TA0011 Command & Control,T1071.001,91.5,Fwd IAT Total,4.7998,Flow Duration,4.3092,Flow Bytes/s,2.4129,Flow IAT Mean,-0.9706,Flow Packets/s,-0.9341
190,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS Hulk,Critical,TA0040 Impact,T1498.001,94.0,Flow Duration,3.7043,Bwd Packet Length Max,-1.2354,Fwd Packet Length Mean,-0.7726,Total Backward Packets,-0.7534,Total Length of Fwd Packets,-0.647
191,2026-07-27 10:00:00,172.16.0.44,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,1.5549,Destination Port,-0.5092,Total Fwd Packets,-0.5062,Fwd IAT Mean,-0.4449,Bwd Packet Length Max,0.4301
192,2026-07-27 10:00:00,172.16.0.33,192.168.1.50,FTP-Patator,High,TA0006 Credential Access,T1110.001,95.0,Total Backward Packets,0.9252,Destination Port,-0.6299,Bwd Packet Length Std,0.5573,Fwd IAT Total,-0.5414,Fwd Packet Length Min,-0.4119
193,2026-07-27 10:00:00,172.16.0.1,192.168.1.50,DoS GoldenEye,Critical,TA0040 Impact,T1498/T1499,93.5,Flow Duration,1.6649,Total Fwd Packets,-0.7338,Flow IAT Max,0.6484,Total Length of Bwd Packets,-0.5562,Flow IAT Min,0.4361
194,2026-07-27 10:00:00,172.16.0.63,192.168.1.50,Web Attack - XSS,High,TA0001 Initial Access,T1190,93.0,Total Length of Fwd Packets,5.4069,Fwd Packet Length Max,3.5639,Flow Packets/s,-1.3062,Fwd IAT Total,-0.8862,Flow IAT Min,-0.8315
195,2026-07-27 10:00:00,172.16.0.53,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,5.1126,Fwd Packet Length Max,2.2404,Fwd Packet Length Mean,-0.8771,Flow Duration,-0.6951,Destination Port,0.6058
196,2026-07-27 10:00:00,192.168.1.12,192.168.1.50,BENIGN,High,TA0043 Reconnaissance,T1046,42.0,Fwd Packet Length Std,0.1026,Flow Duration,0.1003,Flow Bytes/s,-0.0897,Total Length of Bwd Packets,0.0871,Bwd Packet Length Min,-0.0815
197,2026-07-27 10:00:00,172.16.0.83,192.168.1.50,Web Attack - SQL Injection,High,TA0001 Initial Access,T1190,94.5,Total Length of Fwd Packets,5.3592,Fwd Packet Length Max,3.1634,Total Fwd Packets,-0.9157,Fwd IAT Total,-0.8785,Flow IAT Std,-0.8308
